Purch.Doc.	Item	WBS element	Vendor	Name 1	Ackn. No.	StatDelDte	Deliv.date	Expediting Description	FK_EXPD
4500875409	60	101598-06BR2	I355	Aker Solutions Limited		23.09.2019	02.11.2022		450087540960
4500909711	20	101598-06BR	I355	Aker Solutions Limited		01.02.2021	02.11.2022	29/10/2020 - Aguardando informação de Comex sobre a exportação	450090971120
4500911831	30	103715-05BR	149640	DELP Engenharia Mecanica S/A	ok 10/11/2020	30.03.2021	31.12.2023	20/10/2022 - AGUARDANDO TRATATIVA FISCAL + CANCELAMENTO	450091183130
4500911831	20	103715-05BR	149640	DELP Engenharia Mecanica S/A	ok 10/11/2020	30.03.2021	31.12.2023	20/10/2022 - AGUARDANDO TRATATIVA FISCAL + CANCELAMENTO	450091183120
4500912210	760	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210760
4500912210	700	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210700
4500912210	690	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210690
4500912210	670	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210670
4500912210	620	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (2 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210620
4500912210	610	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210610
4500912210	550	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210550
4500912210	540	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (2 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210540
4500912210	480	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210480
4500912210	470	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210470
4500912210	400	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210400
4500912210	340	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210340
4500912210	330	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210330
4500912210	90	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	03/09/2021 - 02/09/2021 SI - TRG 0500/21 ROAD (3 off) ETA AS 19/9/2021	450091221090
4500912210	270	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (2 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210270
4500912210	260	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210260
4500912210	250	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210250
4500912210	240	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210240
4500912210	210	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210210
4500912210	180	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210180
4500912210	170	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210170
4500912210	410	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210410
4500912210	200	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (2 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210200
4500912210	190	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210190
4500912210	720	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (2 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021	4500912210720
4500912210	510	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210510
4500912210	580	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210580
4500912210	850	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210850
4500912210	830	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210830
4500912210	800	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210800
4500912210	710	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210710
4500912210	680	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210680
4500912210	640	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210640
4500912210	630	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210630
4500912210	600	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210600
4500912210	570	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX	4500912210570
