
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	105915

		10234751		10234751	SCM ASSY, (19)SOL VLV, (9)ELEC, 10K	OrdRes	PldOrd	          112502991		-1	              1	21.10.2022	28.10.2022	03.03.2023	17.02.2023	A71	             8431287	           85	BC7	EA

			BB15-000624-48	BB15-000624-48	POD PART, LATCH HOUSING, F/WEDGE PISTON,	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		U30	EA	            232
			BB15-000624-49	BB15-000624-49	AWEDGE PISTONDOG ACTUATING	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		U30	EA	            207
			BB15-000624-06	BB15-000624-06	CLIP RING LATCH DOG	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		U30	EA	            207
			BB15-000624-07	BB15-000624-07	CLIP RETAINER	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		BC3	EA	            180
			BB15-000624-08	BB15-000624-08	SPLIT RING - POD PART	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		BC3	EA	            180
			BB15-000624-50	BB15-000624-50	LATCH DOGSF/WEDGE PISTON	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		U30	EA	            207
			BB15-000624-10	BB15-000624-10	BUMPER NOSE - POD PART	DepReq	ProjSt			-1					28.10.2022	C03	            10456539	            2	BC3	EA	            160
			BB15-000624-51	BB15-000624-51	Wedge Piston Key	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		BC3	EA	            160
			BB15-000624-78	BB15-000624-78	Accumulator Adaptor	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		BC3	EA	            235
			BB16-000206-07	BB16-000206-07	ROD LATCH 3.000 OD X 89.937 LG NITRONIC	DepReq	ShpgNt	         4501728403	                  20	-1	              1			22.07.2022	28.10.2022	C03	            10456539		BC7	EA	            280
			BB28-000165-32	BB28-000165-32	WLDMT,MDRL,SCM	DepReq	ShpgNt	         4501728403	                  40	-1	              1			27.07.2022	28.10.2022	P02	            10456539		BC4	EA	            240
			BB19-000110-81	BB19-000110-81	Mandrel Seal Flange	DepReq	ShpgNt	         4501728403	                  30	-1	              1			22.07.2022	28.10.2022	C03	            10456539		BC7	EA	            180
			BB11-KS0700-01	BB11-KS0700-01	SELECTOR VALVE - SWT (24Vdc)	DepReq	POitem	         4501726998	                  30	-15	             15			23.11.2022	28.10.2022	C03	            10456539		U30	EA	            280
			BB15-000656-18	BB15-000656-18	FILTER, HYDR, 3 MICRON,10000 PSI, SUB-PL	DepReq	ShpgNt	         4501730254	                  10	-2	              2			18.11.2022	28.10.2022	P02	            10456539		BC7	EA	            200
			BB28-000327-14	BB28-000327-14	WLDMT,MANF,VERT,SPM,DUAL DIR CONT SPM VL	DepReq	ShpgNt	         4501731704	                  20	-1	              1			22.11.2022	28.10.2022	P02	            10456539		BC4	EA	            180
			BB15-000207-18	BB15-000207-18	RING, RETAINING, EXT 1.500 INCONEL X-750	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		B02	EA	            159
			BB15-000184-40	BB15-000184-40	RELIEF VALVE, 1/2" NPT, 10 PSI, 316 SS	DepReq	ShpgNt	         4501735899	                  50	-3	              3			01.09.2022	28.10.2022	C03	            10456539		M25	EA	            160
			BB15-000165-91	BB15-000165-91	VALVE, NEEDLE, .250 FM/P,20000 PSI, 2 WA	DepReq	POitem	         4501732884	                  20	-2	              2			28.11.2022	28.10.2022	V01	            10456539		BC0	EA	            150
			BB28-000187-14	BB28-000187-14	WELDMENT,BRACKET,MOUNTING ELECTRICAL 6 P	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		BC4	EA	            180
			BB17-000278-10	BB17-000278-10	NUT, GLAND, .250 M/P, 20000 PSI, 316 SS,	DepReq	ShpgNt	         4501735899	                  60	-8	              8			05.09.2022	28.10.2022	C02	            10456539		M25	EA	            140
			BB17-000114-74	BB17-000114-74	PLUG,HEX HD,.250 MNPT,316 SST,10000 PSI	DepReq	ShpgNt	         4501735899	                 130	-1	              1			05.09.2022	28.10.2022	C03	            10456539		M25	EA	            159
			BB14-KM0020-07	BB14-KM0020-07	ICON,SEM,DUAL TRANSFORMER, 200 VA	DepReq	POitem	         4501745208	                  30	-1	              1			22.11.2022	28.10.2022	P02	            10456539		BC5	EA	            150
			BB15-000173-12	BB15-000173-12	RAW-TBG, SEAMLESS, .250 OD X .109 ID, .0	DepReq	ShpgNt	         4501735899	                 160	-10,000	         20,000			31.08.2022	28.10.2022	C03	            10456539		M25	FT	            140
			BB20-000111-21	BB20-000111-21	O-RING, 9,25x1,78, NBR70A	DepReq	ProjSt			-10					28.10.2022	C03	            10456539		B02	EA	            180
			BB20-000111-66	BB20-000111-66	O-RING, 177,17x5,33, NBR70A	DepReq	ProjSt			-1					28.10.2022	C03	            10456539		B02	EA	            180
			BB17-000104-24	BB17-000104-24	SHCS HEX, 3/8-16UNRCX1,25, 316SH	DepReq	ProjSt			-40					28.10.2022	C03	            10456539		BC5	EA	            150
			BB17-000103-03	BB17-000103-03	WASHER, LOCK,REGULAR SPRING, .375 NOM,	DepReq	ProjSt			-46					28.10.2022	C03	            10456539		BC5	EA	            150
			BB15-000624-71	BB15-000624-71	COMPENSATION COVER, POD PART	DepReq	POitem	         4501736528	                  50	-5	              5			01.11.2022	28.10.2022	C03	            10456539		BC3	EA	            140
			BB15-000270-02	BB15-000270-02	WIRE CLOTH, .047 WIRE DIA, .120 OPEN WID	DepReq	ProjSt			-5					28.10.2022	C03	            10456539		BC0	EA	            180
			BB17-000102-85	BB17-000102-85	SCREW HEX, 10-32UNRFX0,375, 316SH	DepReq	ProjSt			-30					28.10.2022	C03	            10456539		BC5	EA	            150
			BB17-000103-17	BB17-000103-17	WASHER, LOCK,REGULAR SPRING, #10 NOM,316	DepReq	ProjSt			-34					28.10.2022	L02	            10456539		BC5	EA	            189
			BB17-000125-10	BB17-000125-10	WASHER, FLAT, #10, 316SS	DepReq	ProjSt			-34					28.10.2022	L02	            10456539		BC5	EA	            189
			BB15-000686-94	BB15-000686-94	CONN-ELECT,ROV,PLUG,9 PIN,FLANGE MOU	DepReq	ProjSt			-1					28.10.2022	P02	            10456539		BC7	EA	            250
			BB17-000295-05	BB17-000295-05	SCREW HEX, 0,25-20UNRCX0,625, TI2	DepReq	ShpgNt	         4501733271	                  70	-24	             24			19.09.2022	28.10.2022	C03	            10456539		BC5	EA	            180
			BB15-000546-06	BB15-000546-06	ACCUMULATOR PART, BLADDER, MOD2.500 GALL	DepReq	POitem	         4501728469	                  20	-5	              5			13.12.2022	28.10.2022	C03	            10456539		BC5	EA	            214
			BB17-000231-06	BB17-000231-06	THREDSEAL, WASHER, .88" BOLT,1.562 OD X	DepReq	POitem	         4501738648	                  70	-5	              7			10.11.2022	28.10.2022	C03	            10456539		BC5	EA	            189
			BB17-000120-23	BB17-000120-23	NUT HEX JAM, 7/8-14UNRF, 316SS	DepReq	ProjSt			-5					28.10.2022	L02	            10456539		BC5	EA	            189
			BB15-000680-94	BB15-000680-94	CONN-ELECT, ROV MATEABLE, RECEPTACLE, 4	DepReq	ProjSt			-3					28.10.2022	C03	            10456539		BC7	EA	            250
			BB17-000125-27	BB17-000125-27	WASHER, FLAT,TYPE "B" REGULAR, .375 NOM,	DepReq	ProjSt			-6					28.10.2022	C03	            10456539		BC5	EA	            189
			BB17-000104-23	BB17-000104-23	SHCS HEX, 3/8-16UNRC X 1,0", 316SS	DepReq	ProjSt			-6					28.10.2022	C03	            10456539		BC5	EA	            180
