
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	100798

		10107535		10107535	DOWNHOLE INTERFACE UNIT	OrdRes	PldOrd	          112487434		-1	              1	20.12.2022	27.12.2022	10.03.2023	10.03.2023	A72	             8685199	           50		EA

			10107557	10107557	WELDMENT PROTECTION CAN	DepReq	ProjSt			-1					27.12.2022	C01	            10457934		BC4	EA	            150
			BB28-KC0606-01	BB28-KC0606-01	DEE HANDLE ROV	DepReq	ProjSt			-1					27.12.2022	C01	            10457934		BC4	EA	            150
			10107558	10107558	END CAP - DHPT CAN	DepReq	QM-lot	        10003209510		-1	              3		17.10.2022	17.10.2022	27.12.2022	M01	            10457934		BC3	EA	            189
			10108818	10108818	ANODE, FLUSH, SPECIAL, 2.94KG, AL	DepReq	POitem	         4501730835	                  10	-1	              3			08.11.2022	27.12.2022	U01	            10457934		BC5	EA	            189
			BB18-KC1987-01	BB18-KC1987-01	BUSH COMPLIANT	DepReq	ProjSt			-1					27.12.2022	C02	            10457934		TS9	EA	            159
			BB88-KC3097-04	BB88-KC3097-04	ELEC CONN DIGITRON ROV 4WAY BULKHEAD MOU	DepReq	ShpgNt	         4501730398	                  10	-2	              6			28.09.2022	27.12.2022	S03	            10457934		BC7	EA	            295
			BB88-083104-04	BB88-083104-04	ELEC CONN 4/7 W ROV CAP FOR PLUG	DepReq	ProjSt			-2					27.12.2022	S03	            10457934		BC7	EA	            230
			BB18-KC0361-06	BB18-KC0361-06	SPACER BAR	DepReq	ProjSt			-2					27.12.2022	P01	            10457934		BC3	EA	            160
			10047273	10047273	ROXAR ICON5 DHPT I/F CARD(DHNC-01) MK2	DepReq	POitem	         4501736418	                  20	-1	              3			21.12.2022	27.12.2022	P04	            10457934		BA1	EA	            240
			10109105	10109105	O-RING, 209,5x3, NBR70A	DepReq	ProjSt			-2					27.12.2022	C02	            10457934		B02	EA	            150
			BB87-060070-01	BB87-060070-01	Wire 22AWG 600V single wire	DepReq	PldOrd	          111520477		-1	              3	28.06.2022	26.07.2022	27.12.2022	27.12.2022	L02	            10457934		BC0	EA	            150
			BB17-080236-17	BB17-080236-17	BOLT HEX HD M6 X 25MM LG ST STL A4/70 TO	DepReq	ProjSt			-4					27.12.2022	P01	            10457934		BC5	EA	            232
			BB17-080297-59	BB17-080297-59	WASHER FLAT, M6, FORM C, A4	DepReq	ProjSt			-4					27.12.2022	C03	            10457934		BC5	EA	            202
			BB17-000223-15	BB17-000223-15	SU-RING, 5,33x6,37x1,33, PTFE	DepReq	ProjSt			-6					27.12.2022	C02	            10457934		TS9	EA	            217
			BB17-080407-05	BB17-080407-05	OB : SHCS HEX, M12X40, A4-80	DepReq	ProjSt			-4					27.12.2022	P01	            10457934		BC5	EA	            232
