
Project								Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	105500

		10360216						10360216	COVER, VERTICAL INJ. ADAPTER	OrdRes	PurRqs	           17582838	                  10	-1	              1	28.10.2022		09.04.2024	02.12.2022	C01	             8334283		BC5	EA	            500
		10360216						10360216	COVER, VERTICAL INJ. ADAPTER	OrdRes	PurRqs	           17582839	                  10	-4	              4	28.10.2022		09.04.2024	27.03.2023	C01	             8334283		BC5	EA	            500
		10360178						10360178	COVER, U-VCM TYPE 2	OrdRes	PurRqs	           17555535	                  10	-1	              1	10.11.2022		02.12.2022	02.12.2022	P02	             8334283			EA
		10348730						10348730	ELECTRICAL SYSTEM FOR TRIPLE VCM (VCM-T)	OrdRes	PldOrd	          112486751		-1	              1	19.12.2022	26.12.2022	13.02.2023	13.02.2023	Y01	             8425908	           35	Y01	EA	            500

			10117539					10117539	7-WAY ROV DIGI DUMMY RECEPTACLE WIRED	DepReq	ShpgNt	         4501726535	                  70	-1	             10			08.09.2022	26.12.2022	S03	            10431170		BC7	EA	            295
			10048790					10048790	ELEC CONN DIGI 7WAY ROV DUMMY PLUG PB SP	DepReq	ShpgNt	         4501726535	                 100	-1	             10			29.11.2022	26.12.2022	S03	            10431170		BC7	EA	            295
			10351425					10351425	ELEC CONN, 7W(F) ROV DIG FLG JIC8 L=5M	DepReq	ShpgNt	         4501726535	                 130	-1	              6			16.01.2023	26.12.2022	S03	            10431170		BC7	EA	            274
			10323246					10323246	CAIXA IP65 70,4 x 53,3 x 39,4 CM	DepReq	ShpgNt	         4501729304	                  20	-1	             10			19.07.2022	26.12.2022	C02	            10431170		BC7	EA	            130
			10350921					10350921	QR CODE LABLE SIMPLE 120 x 100 mm	DepReq	PurRqs	           17583026	                  10	-1	              1	28.10.2022		14.06.2023	26.12.2022	Y01	            10431170		BC5	EA	            200

		10348733						10348733	MQC INBOARD FOR HYDRAULIC MQC ASSEMBLY	OrdRes	PldOrd	          112503046		-1	              1	21.10.2022	28.10.2022	20.12.2022	02.12.2022	A28	             8426977	           35		EA	            350

			10355652					10355652	RIMS IB 14 WAY 12 POP 5(V) 7 NRPD (PSM)	DepReq	POitem	         4501725633	                 300	-1	              1			30.11.2022	28.10.2022	Y01	            10456967		BA1	EA	            189
			10350160					10350160	RIMS TRANSFER 0 WAY 0 POP (PSM)	DepReq	POitem	         4501725633	                 370	-1	              1			30.11.2022	28.10.2022	S03	            10456967	           10	BA1	EA	            260
			10350156					10350156	RIMS LTPC 14 WAY 12 POP (PSM)	DepReq	POitem	         4501725633	                 440	-1	              1			30.11.2022	28.10.2022	M03	            10456967	           10	BA1	EA	            189
			10350159					10350159	RIMS IB PARKING 14 WAY 12 POP (PSM)	DepReq	POitem	         4501725633	                  20	-1	              1			30.11.2022	28.10.2022	M03	            10456967	           10	BA1	EA	            189
