28.10.2022                                                                                                                                                   Dynamic List Display                                                                                                                                                                                                            1


	Purch.Doc.	Item	WBS element	Vendor	Name 1	Ackn. No.	StatDelDte	Deliv.date	Expediting Description

	4500875409	  60	101598-06BR2	I355	Aker Solutions Limited		23.09.2019	02.11.2022
	4500909711	  20	101598-06BR	I355	Aker Solutions Limited		01.02.2021	02.11.2022	29/10/2020 - Aguardando informação de Comex sobre a exportação
	4500911831	  20	103715-05BR	149640	DELP Engenharia Mecanica S/A	ok 10/11/2020	30.03.2021	31.12.2023	20/10/2022 - AGUARDANDO TRATATIVA FISCAL + CANCELAMENTO
	4500911831	  30	103715-05BR	149640	DELP Engenharia Mecanica S/A	ok 10/11/2020	30.03.2021	31.12.2023	20/10/2022 - AGUARDANDO TRATATIVA FISCAL + CANCELAMENTO
	4500912210	 690	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021
	4500912210	 700	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021
	4500912210	 760	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (1 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021
	4500912210	 820	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	27/07/2022 - 08/11/2021 - SEA (2 off) PR#02287/21 IMP 0690/21  DI: 2124672290 ETA AS 18.12.2021
	4500912210	 220	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
	4500912210	 280	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
	4500912210	 290	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
	4500912210	 310	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
	4500912210	 320	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
	4500912210	 350	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
	4500912210	 360	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
	4500912210	 380	103715-05BR	138982	Voestalpine High Performance	OK 13/11/2020	16.08.2021	30.11.2022	07/01/2022 - TRG or IMP to be informed by COMEX
